Rank,Ticker,Score,Price,ADX,SMA50_Distance%,SMA200_Distance%,10D_Change%,Volume,ATR,ATR_Ratio,Market_Regime
1,ABVX,41.3,66.49,79.9,504.5,684.7,653.0,3540490,5.63,9.9,Bear
2,ABAT,39.7,3.15,60.8,87.1,134.1,91.2,20030769,0.38,3.9,Bear
3,ABVEW,35.7,0.19,57.2,104.1,332.4,-18.8,204361,0.11,0.8,Bear
4,ABCL,34.9,5.11,54.5,56.7,78.7,20.5,5190671,0.44,4.2,Bear
5,AACG,27.7,1.01,49.7,15.2,9.9,13.0,154166,0.09,1.4,Bear
6,ABVC,25.1,3.01,52.7,29.8,177.7,-14.2,217996,0.6,1.1,Bear
7,ABVE,24.7,1.94,44.1,37.5,146.9,-21.8,6036838,0.97,0.5,Bear
8,ACEL,23.9,12.74,60.8,8.5,13.2,3.9,264848,0.29,3.4,Bear
9,AAP,23.5,58.68,64.8,14.8,36.9,-5.4,3069955,3.63,2.1,Bear
10,ACIU,23.1,2.43,34.3,24.7,0.6,16.8,230276,0.13,3.7,Bear
11,ACIO,21.5,42.06,50.3,2.8,4.7,1.2,97936,0.2,5.8,Bear
12,ABEO,21.2,6.53,36.0,6.2,12.8,10.3,453034,0.29,1.3,Bear
13,AAOI,20.7,27.13,40.0,22.5,16.1,-8.0,4194149,2.2,2.3,Bear
14,ABCB,19.4,66.42,44.7,3.9,5.6,-2.8,614335,1.31,1.9,Bear
15,AACT,17.0,11.45,40.4,0.9,3.1,0.5,80927,0.05,2.3,Bear
16,ABLV,16.8,1.09,29.0,0.8,11.0,19.3,14476,0.09,0.1,Bear
17,ACMR,16.5,29.93,28.9,14.8,37.1,3.5,725752,1.02,3.8,Bear
18,ACR,16.4,19.17,29.4,5.8,6.3,7.1,24912,0.4,2.6,Bear
19,ACHR,15.9,11.21,29.4,3.4,35.4,3.8,31936646,0.84,0.4,Bear
20,AB,15.0,42.88,28.5,5.7,12.4,4.3,185027,0.84,2.8,Bear
21,ABNB,14.2,141.31,28.2,4.7,6.7,2.0,2499368,2.55,2.5,Bear
22,ACNB,13.5,42.71,33.1,0.2,1.0,-2.2,26912,0.87,0.1,Bear
23,ACNT,12.7,12.96,30.1,1.8,11.0,-0.6,49782,0.23,1.0,Bear
